"","nodeLabel","CpG","correlations"
"cg04692506","VAE91","cg04692506",-0.60498502141535
"cg07997737","VAE91","cg07997737",-0.604960523510407
"cg13560914","VAE91","cg13560914",-0.604938026451743
"cg09118749","VAE91","cg09118749",-0.604709276990157
"cg02031326","VAE91","cg02031326",-0.604654084506726
"cg25113462","VAE91","cg25113462",-0.604513906135874
"cg00796611","VAE91","cg00796611",-0.604340377395981
"cg22445447","VAE91","cg22445447",-0.604216525374068
"cg25162826","VAE91","cg25162826",-0.604113899577395
"cg17077762","VAE91","cg17077762",-0.604010728694406
"cg07565042","VAE91","cg07565042",-0.60389973484988
"cg01198661","VAE91","cg01198661",-0.603657543941768
"cg12424898","VAE91","cg12424898",-0.603629581564647
"cg13628444","VAE91","cg13628444",-0.603628642892121
"cg18185987","VAE91","cg18185987",-0.603598714204469
"cg07670676","VAE91","cg07670676",-0.603526143630486
"cg25950520","VAE91","cg25950520",-0.60344814124559
"cg03493123","VAE91","cg03493123",-0.60341565780493
"cg24562814","VAE91","cg24562814",-0.603394831229885
"cg26703758","VAE91","cg26703758",-0.603349728237845
"cg18192987","VAE91","cg18192987",-0.603264154185776
"cg21746001","VAE91","cg21746001",-0.603242527611249
"cg02609724","VAE91","cg02609724",-0.603011774102216
"cg21487363","VAE91","cg21487363",-0.602654812511672
"cg20383521","VAE91","cg20383521",-0.602654188590594
"cg26123532","VAE91","cg26123532",-0.602645537639353
"cg03274800","VAE91","cg03274800",-0.602595702154465
"cg18804777","VAE91","cg18804777",-0.602572246248726
"cg02390084","VAE91","cg02390084",-0.602131852029879
"cg20900927","VAE91","cg20900927",-0.601949867250259
"cg14012686","VAE91","cg14012686",-0.60184928190071
"cg11835657","VAE91","cg11835657",-0.601840754251238
"cg08764925","VAE91","cg08764925",-0.60173362494255
"cg21359793","VAE91","cg21359793",-0.601720183237879
"cg13345122","VAE91","cg13345122",-0.601588431491361
"cg17546376","VAE91","cg17546376",-0.601587864355487
"cg05078091","VAE91","cg05078091",-0.601198565150198
"cg26797894","VAE91","cg26797894",-0.601190107522859
"cg03608520","VAE91","cg03608520",-0.601104910933642
"cg07584765","VAE91","cg07584765",-0.601096635411636
"cg15299978","VAE91","cg15299978",-0.601074863376425
"cg01141838","VAE91","cg01141838",-0.600987626068187
"cg25209111","VAE91","cg25209111",-0.6008910812068
"cg23932873","VAE91","cg23932873",-0.600643179568921
"cg19690494","VAE91","cg19690494",-0.600595137378507
"cg18055067","VAE91","cg18055067",-0.600528341444842
"cg03403880","VAE91","cg03403880",-0.600485845579369
"cg08508775","VAE91","cg08508775",-0.600478464225394
"cg07905975","VAE91","cg07905975",-0.600408470472638
"cg12636882","VAE91","cg12636882",-0.600258589572468
"cg17724175","VAE91","cg17724175",-0.600242971055621
"cg25426350","VAE91","cg25426350",-0.600210420980259
"cg07161848","VAE91","cg07161848",-0.600153101626818
"cg19314470","VAE91","cg19314470",-0.600102509386753
"cg15614268","VAE91","cg15614268",-0.600073705312581
"cg17234201","VAE91","cg17234201",-0.600038256790799
"cg05663453","VAE91","cg05663453",-0.599980620966476
"cg12294118","VAE91","cg12294118",-0.599841675525552
"cg27505472","VAE91","cg27505472",-0.5998159810491
"cg09261794","VAE91","cg09261794",-0.599802979929992
"cg16991168","VAE91","cg16991168",-0.599780948759725
"cg06368401","VAE91","cg06368401",-0.599756611136612
"cg24784129","VAE91","cg24784129",-0.599632144763765
"cg14081251","VAE91","cg14081251",-0.599629071741976
"cg03387103","VAE91","cg03387103",-0.599502981287577
"cg13628006","VAE91","cg13628006",-0.599493710218108
"cg25619461","VAE91","cg25619461",-0.599459199180846
"cg17195635","VAE91","cg17195635",-0.599443419992502
"cg16616993","VAE91","cg16616993",-0.599439635646904
"cg23522915","VAE91","cg23522915",-0.599318775847593
"cg26775695","VAE91","cg26775695",-0.599268413789182
"cg02313130","VAE91","cg02313130",-0.599090004867558
"cg13931873","VAE91","cg13931873",-0.598959028041898
"cg27121309","VAE91","cg27121309",-0.598832968611753
"cg02009766","VAE91","cg02009766",-0.598769065458731
"cg25199005","VAE91","cg25199005",-0.598751788817864
"cg01206259","VAE91","cg01206259",-0.598721926343104
"cg15084470","VAE91","cg15084470",-0.598552049788334
"cg04869949","VAE91","cg04869949",-0.5984432995643
"cg10609174","VAE91","cg10609174",-0.598435597637318
"cg04899446","VAE91","cg04899446",-0.598399877178788
"cg09579081","VAE91","cg09579081",-0.598200976287004
"cg24676283","VAE91","cg24676283",-0.598065630869836
"cg13911594","VAE91","cg13911594",-0.597801007435148
"cg08947167","VAE91","cg08947167",-0.597682505656331
"cg23756265","VAE91","cg23756265",-0.597674657687896
"cg04126957","VAE91","cg04126957",-0.597627209901031
"cg10330955","VAE91","cg10330955",-0.597583073342802
"cg17584512","VAE91","cg17584512",-0.597549977485026
"cg20294080","VAE91","cg20294080",-0.597444121868765
"cg26206598","VAE91","cg26206598",-0.59741424927778
"cg07107055","VAE91","cg07107055",-0.597266179415146
"cg20376082","VAE91","cg20376082",-0.597216466325157
"cg04724387","VAE91","cg04724387",-0.597152215022565
"cg25578048","VAE91","cg25578048",-0.596901139015558
"cg05736906","VAE91","cg05736906",-0.596900394330499
"cg07531343","VAE91","cg07531343",-0.596858589811406
"cg13929323","VAE91","cg13929323",-0.596774643031001
"cg19948255","VAE91","cg19948255",-0.59676127157304
"cg24859941","VAE91","cg24859941",-0.596720801316001
"cg26979537","VAE91","cg26979537",-0.596680747483094
"cg17144305","VAE91","cg17144305",-0.596638001278849
"cg00067884","VAE91","cg00067884",-0.596633397757029
"cg07963046","VAE91","cg07963046",-0.596586812669499
"cg02005231","VAE91","cg02005231",-0.596474368697344
"cg20349803","VAE91","cg20349803",-0.596456935093811
"cg11709793","VAE91","cg11709793",-0.596435989570643
"cg22688072","VAE91","cg22688072",-0.596390517931854
"cg10955669","VAE91","cg10955669",-0.596155364743373
"cg13720048","VAE91","cg13720048",-0.596017174621643
"cg03394422","VAE91","cg03394422",-0.595977114863163
"cg22095041","VAE91","cg22095041",-0.595959233845546
"cg11541547","VAE91","cg11541547",-0.595916709352573
"cg27157575","VAE91","cg27157575",-0.595795536067784
"cg18362770","VAE91","cg18362770",-0.595783191229739
"cg13628057","VAE91","cg13628057",-0.595704542887369
"cg14452346","VAE91","cg14452346",-0.595629966184512
"cg23738708","VAE91","cg23738708",-0.595535818045959
"cg15375344","VAE91","cg15375344",-0.595368233376506
"cg24307587","VAE91","cg24307587",-0.595243015810532
"cg15292097","VAE91","cg15292097",-0.59512420525904
"cg02578929","VAE91","cg02578929",-0.594958598587083
"cg08112737","VAE91","cg08112737",-0.594949537593529
"cg14835484","VAE91","cg14835484",-0.594856659575848
"cg11589885","VAE91","cg11589885",-0.594773703062297
"cg12299795","VAE91","cg12299795",-0.594737056860561
"cg24784036","VAE91","cg24784036",-0.59473235863275
"cg22225577","VAE91","cg22225577",-0.594690853141265
"cg11707031","VAE91","cg11707031",-0.594679120514195
"cg08351085","VAE91","cg08351085",-0.594672717103374
"cg05310046","VAE91","cg05310046",-0.594635352597163
"cg25882887","VAE91","cg25882887",-0.59458301537741
"cg20995304","VAE91","cg20995304",-0.594518200889171
"cg04526361","VAE91","cg04526361",0.594489285722076
"cg07065759","VAE91","cg07065759",-0.594309065997043
"cg00686159","VAE91","cg00686159",-0.593965971089932
"cg21365444","VAE91","cg21365444",-0.593952114742647
"cg24863255","VAE91","cg24863255",-0.593833003577579
"cg24903668","VAE91","cg24903668",-0.593744301978768
"cg21121257","VAE91","cg21121257",-0.59362561040679
"cg04807036","VAE91","cg04807036",-0.593568333022524
"cg09107344","VAE91","cg09107344",-0.593563722272991
"cg09705667","VAE91","cg09705667",-0.5933819209713
"cg21919556","VAE91","cg21919556",-0.593194211626639
"cg16510654","VAE91","cg16510654",-0.593024127391679
"cg09110922","VAE91","cg09110922",-0.59299379265996
"cg24339574","VAE91","cg24339574",-0.592981896014896
"cg07084019","VAE91","cg07084019",-0.592939652757885
"cg13912214","VAE91","cg13912214",-0.592938916970141
"cg05954918","VAE91","cg05954918",-0.592864181963637
"cg05620046","VAE91","cg05620046",-0.592746037361537
"cg22909085","VAE91","cg22909085",-0.59272278155803
"cg11516654","VAE91","cg11516654",-0.592708832643317
"cg02892295","VAE91","cg02892295",-0.592691408952075
"cg06646174","VAE91","cg06646174",-0.592264681316015
"cg15312261","VAE91","cg15312261",-0.592087302448909
"cg12950030","VAE91","cg12950030",-0.592009507111495
"cg09654300","VAE91","cg09654300",-0.591947031203597
"cg23496906","VAE91","cg23496906",-0.591900849462986
"cg24948079","VAE91","cg24948079",-0.591871150739131
"cg15604953","VAE91","cg15604953",-0.59174721604503
"cg17223520","VAE91","cg17223520",-0.591735439317303
"cg03190578","VAE91","cg03190578",-0.591689354464622
"cg11823603","VAE91","cg11823603",0.591677803077109
"cg13618623","VAE91","cg13618623",-0.591611356704799
"cg25067686","VAE91","cg25067686",-0.591597700685956
"cg10587082","VAE91","cg10587082",-0.591595620041978
"cg22260508","VAE91","cg22260508",-0.591567394710999
"cg21286967","VAE91","cg21286967",-0.591518622791281
"cg03430597","VAE91","cg03430597",-0.591464388063275
"cg26691200","VAE91","cg26691200",-0.591457422995749
"cg06440361","VAE91","cg06440361",-0.591418823216607
"cg02711212","VAE91","cg02711212",-0.591377705231687
"cg05323709","VAE91","cg05323709",-0.591373635464785
"cg12691994","VAE91","cg12691994",0.591332599796134
"cg12301619","VAE91","cg12301619",-0.591330783987043
"cg09959931","VAE91","cg09959931",-0.591278144927056
"cg11058951","VAE91","cg11058951",-0.59117789364738
"cg08341278","VAE91","cg08341278",-0.591157343408671
"cg07165029","VAE91","cg07165029",-0.591037732273917
"cg12911556","VAE91","cg12911556",-0.591024941225924
"cg00992348","VAE91","cg00992348",-0.591012161441053
"cg26192909","VAE91","cg26192909",-0.591002204576477
"cg16379999","VAE91","cg16379999",-0.590948559900071
"cg15755568","VAE91","cg15755568",-0.590922203988865
"cg06226724","VAE91","cg06226724",-0.590880992664822
"cg02124060","VAE91","cg02124060",-0.590796553411745
"cg06965072","VAE91","cg06965072",0.59074832812008
"cg16297435","VAE91","cg16297435",-0.590712024416887
"cg06951565","VAE91","cg06951565",0.590687734398036
"cg07598341","VAE91","cg07598341",-0.59063788117917
"cg16689761","VAE91","cg16689761",-0.590609129135961
"cg01201782","VAE91","cg01201782",-0.590597192982349
"cg25951430","VAE91","cg25951430",0.590546989852605
"cg02568531","VAE91","cg02568531",-0.5903271808353
"cg00514486","VAE91","cg00514486",-0.590320344913047
"cg14865407","VAE91","cg14865407",-0.590126994134198
"cg25227936","VAE91","cg25227936",-0.59006448761512
